,,,,,,,,,,
#H,1,2,3,4,5,,,,,
Training error,0.0331492,0.0331492,0.0110497,0,0.0110497,,,,,
Test error,0.0607735,0.0828729,0.0773481,0,0.0662983,,,,,
,,,,,,,,,,
,,,,,,,,,,
#H,1,2,3,4,5,,,,,
Training error,0.0045977,0.0045977,0.00229885,0,0,,,,,
Test error,0.0321839,0.0321839,0.0344828,0.0298851,0.0252874,,,,,
,,,,,,,,,,
,,,,,,,,,,
#H,1,2,3,4,5,,,,,
Training error,0.0730337,0.00561798,0,0,0,,,,,
Test error,0.213483,0.0955056,0.0730337,0.0449438,0.0561798,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#H,1,2,3,4,5,,,,,
Training confidence interval,0.0372,0.0372,0.0217,0,0.0217,,,,,
Test confidence interval,0.0496,0.0573,0.0555,0,0.0517,,,,,
,,,,,,,,,,
,,,,,,,,,,
#H,1,2,3,4,5,,,,,
Training confidence interval,0.0141,0.0141,0.0099,0,0,,,,,
Test confidence interval,0.0367,0.0367,0.0379,0.0354,0.0326,,,,,
,,,,,,,,,,
,,,,,,,,,,
#H,1,2,3,4,5,,,,,
Training confidence interval,0.0541,0.0155,0,0,0,,,,,
Test confidence interval,0.0851,0.0611,0.0541,0.043,0.0478,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Fold,1,2,3,4,5,6,7,8,9,10
Error rate,0.0555556,0.111111,0.0555556,0.111111,0.0555556,0.0555556,0.166667,0.0555556,0.222222,0.111111
,,,,,,,,,,
,,,,,,,,,,
Fold,1,2,3,4,5,6,7,8,9,10
Error rate,0,0,0,0,0,0,0,0,0.1111,0
,,,,,,,,,,
,,,,,,,,,,
Fold,1,2,3,4,5,6,7,8,9,10
Error rate,0.116279,0.0697674,0.0465116,0.0232558,0.0697674,0.0697674,0.139535,0.0930233,0.0697674,0.0465116
,,,,,,,,,,
,,,,,,,,,,
Fold,1,2,3,4,5,6,7,8,9,10
Error rate,0.0455,0.1364,0.0227,0.0227,0.0909,0.0455,0.0227,0.0227,0.0455,0.1136
,,,,,,,,,,
,,,,,,,,,,
Fold,1,2,3,4,5,6,7,8,9,10
Error rate,0.176471,0.0588235,0.224719,0.224719,0.11236,0.0561798,0.11236,0.11236,0.11236,0.0561798
,,,,,,,,,,
,,,,,,,,,,
Fold,1,2,3,4,5,6,7,8,9,10
Error rate,0.1667,0.1667,0.2778,0.1667,0.1111,0.0556,0.0556,0,0,0.0556