Alcohol,'Malic acid',Ash,'Alcalinity of ash',Magnesium,'Total phenols',Flavanoids,'Nonflavanoid phenols',Proanthocyanins,'Color intensity',Hue,OD280/OD315,Proline,class
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(23.533333-inf),(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(3.09-inf),(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(-inf-2.18],(-inf-745.333333],2
(-inf-12.296667],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(-inf-0.306667],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(3.09-inf),(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(2.913333-inf),(1.92-3.5],(-inf-0.306667],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(131.333333-inf),(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(2.523333-inf),(-inf-5.186667],(0.89-1.3],(2.18-3.09],(745.333333-1212.666667],2
(-inf-12.296667],(-inf-2.426667],(2.606667-inf),(17.066667-23.533333],(131.333333-inf),(-inf-1.946667],(-inf-1.92],(-inf-0.306667],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(-inf-1.983333],(-inf-17.066667],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(-inf-0.306667],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(2.913333-inf),(3.5-inf),(-inf-0.306667],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(2.523333-inf),(-inf-5.186667],(1.3-inf),(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(-inf-1.983333],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(-inf-0.306667],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(-inf-1.983333],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(-inf-0.306667],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(3.09-inf),(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(-inf-1.983333],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(-inf-1.983333],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(3.09-inf),(-inf-745.333333],2
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(3.09-inf),(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(1.92-3.5],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(3.09-inf),(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(-inf-0.89],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(-inf-1.983333],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(-inf-0.89],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(2.606667-inf),(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(-inf-0.306667],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(3.09-inf),(-inf-745.333333],2
(-inf-12.296667],(2.426667-4.113333],(-inf-1.983333],(17.066667-23.533333],(100.666667-131.333333],(2.913333-inf),(1.92-3.5],(-inf-0.306667],(2.523333-inf),(-inf-5.186667],(-inf-0.89],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(-inf-0.306667],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(2.426667-4.113333],(2.606667-inf),(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(1.92-3.5],(0.483333-inf),(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(3.09-inf),(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.483333-inf),(1.466667-2.523333],(-inf-5.186667],(1.3-inf),(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(-inf-0.306667],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(3.09-inf),(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(2.426667-4.113333],(-inf-1.983333],(-inf-17.066667],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(-inf-2.18],(-inf-745.333333],2
(-inf-12.296667],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(-inf-0.89],(3.09-inf),(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(2.606667-inf),(23.533333-inf),(100.666667-131.333333],(2.913333-inf),(3.5-inf),(0.306667-0.483333],(1.466667-2.523333],(5.186667-9.093333],(0.89-1.3],(3.09-inf),(-inf-745.333333],2
(12.296667-13.563333],(4.113333-inf),(2.606667-inf),(23.533333-inf),(100.666667-131.333333],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(3.09-inf),(-inf-745.333333],2
(12.296667-13.563333],(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(-inf-0.306667],(1.466667-2.523333],(-inf-5.186667],(-inf-0.89],(3.09-inf),(-inf-745.333333],2
(-inf-12.296667],(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(-inf-0.306667],(2.523333-inf),(-inf-5.186667],(-inf-0.89],(3.09-inf),(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(3.09-inf),(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(-inf-0.89],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(-inf-2.426667],(2.606667-inf),(23.533333-inf),(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.483333-inf),(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(23.533333-inf),(-inf-100.666667],(1.946667-2.913333],(1.92-3.5],(0.306667-0.483333],(1.466667-2.523333],(-inf-5.186667],(0.89-1.3],(2.18-3.09],(-inf-745.333333],2
(-inf-12.296667],(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(2.18-3.09],(-inf-745.333333],2
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(-inf-0.306667],(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(-inf-0.306667],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(23.533333-inf),(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(-inf-0.306667],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(-inf-0.306667],(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(-inf-12.296667],(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(4.113333-inf),(2.606667-inf),(23.533333-inf),(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(2.606667-inf),(23.533333-inf),(100.666667-131.333333],(1.946667-2.913333],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(2.606667-inf),(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(2.18-3.09],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(2.18-3.09],(745.333333-1212.666667],3
(12.296667-13.563333],(2.426667-4.113333],(2.606667-inf),(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(-inf-2.18],(-inf-745.333333],3
(13.563333-inf),(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(0.89-1.3],(-inf-2.18],(-inf-745.333333],3
(-inf-12.296667],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(-inf-0.306667],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(745.333333-1212.666667],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(-inf-2.18],(745.333333-1212.666667],3
(13.563333-inf),(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(-inf-5.186667],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(2.606667-inf),(23.533333-inf),(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(-inf-0.306667],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(-inf-0.306667],(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(-inf-2.426667],(2.606667-inf),(23.533333-inf),(100.666667-131.333333],(1.946667-2.913333],(-inf-1.92],(-inf-0.306667],(1.466667-2.523333],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(1.466667-2.523333],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(1.466667-2.523333],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(13.563333-inf),(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(1.466667-2.523333],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(2.606667-inf),(23.533333-inf),(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(745.333333-1212.666667],3
(13.563333-inf),(-inf-2.426667],(2.606667-inf),(23.533333-inf),(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.483333-inf),(2.523333-inf),(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(-inf-2.426667],(2.606667-inf),(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.483333-inf),(1.466667-2.523333],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(13.563333-inf),(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(0.89-1.3],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(13.563333-inf),(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(13.563333-inf),(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(13.563333-inf),(2.426667-4.113333],(2.606667-inf),(23.533333-inf),(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(1.466667-2.523333],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(745.333333-1212.666667],3
(12.296667-13.563333],(4.113333-inf),(2.606667-inf),(23.533333-inf),(100.666667-131.333333],(1.946667-2.913333],(-inf-1.92],(-inf-0.306667],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(-inf-12.296667],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(-inf-2.426667],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(13.563333-inf),(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(13.563333-inf),(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(-inf-100.666667],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(5.186667-9.093333],(-inf-0.89],(-inf-2.18],(745.333333-1212.666667],3
(12.296667-13.563333],(4.113333-inf),(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.306667-0.483333],(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(745.333333-1212.666667],3
(12.296667-13.563333],(2.426667-4.113333],(1.983333-2.606667],(17.066667-23.533333],(100.666667-131.333333],(-inf-1.946667],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(745.333333-1212.666667],3
(13.563333-inf),(2.426667-4.113333],(2.606667-inf),(23.533333-inf),(-inf-100.666667],(1.946667-2.913333],(-inf-1.92],(0.483333-inf),(-inf-1.466667],(9.093333-inf),(-inf-0.89],(-inf-2.18],(-inf-745.333333],3
