Example,Label,Resolution,Sensor Technology,Maximum shutter speed,Battery life,Weight,Price
Nikon D5300,1,3,2,2,2,1,2
Nikon D7100,1,3,2,3,2,1,2
Nikon D3300,1,3,2,2,2,3,3
Ricoh GR II,1,2,2,1,1,3,2
Olympus PEN E-PL6,1,2,1,2,2,3,3
Canon T5,1,2,2,2,2,1,3
Sigma dp3 Quattro,1,2,2,1,1,3,2
Sony RX100 III,1,3,1,3,3,3,2
Sony A6000,1,3,2,2,2,3,3
Olympus E-M10 II,1,2,1,3,2,1,2
Canon T6,0,2,2,2,2,1,2
Nikon D500,0,2,2,3,2,1,1
Nikon DL24-85,0,2,1,3,3,3,2
Sony A6300,0,3,2,2,2,3,1
Sony A7R II,0,3,3,3,2,1,1
Pentax K-3,0,3,2,3,3,1,1
Leica C,0,1,1,2,2,3,1
Canon EOS 5D Mark IV,0,3,3,3,3,1,1
Olympus TG-4,0,1,1,1,1,3,3
Sony DSCW800,0,2,1,1,1,3,3